company_id,company_name,a_code,h_code,a_exchange,a_ticker,h_ticker,industry,status,source,updated_at
AH_688235_06160,百济神州,688235,06160,SH,688235.SS,06160.HK,医药医疗,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600012_00995,皖通高速,600012,00995,SH,600012.SS,00995.HK,交通运输,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600871_01033,石化油服,600871,01033,SH,600871.SS,01033.HK,能源电力,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600660_03606,福耀玻璃,600660,03606,SH,600660.SS,03606.HK,有色与材料,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601865_06865,福莱特,601865,06865,SH,601865.SS,06865.HK,有色与材料,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601326_03369,秦港股份,601326,03369,SH,601326.SS,03369.HK,交通运输,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_002475_02475,立讯精密,002475,02475,SZ,002475.SZ,02475.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601899_02899,紫金矿业,601899,02899,SH,601899.SS,02899.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_688052_02676,纳芯微,688052,02676,SH,688052.SS,02676.HK,科技电子,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601330_01330,绿色动力,601330,01330,SH,601330.SS,01330.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601828_01528,美凯龙,601828,01528,SH,601828.SS,01528.HK,消费,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_002881_03268,美格智能,002881,03268,SZ,002881.SZ,03268.HK,科技电子,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
